"codmunres","ano","municipio","uf","regiao","cob_suplementar","beneficiarias_10_a_49","novo_beneficiarias_10_a_49","populacao_feminina_10_a_49","populacao_15_a_64"
110001,2015,"Alta Floresta D'Oeste","Rondônia","Norte",8.2,636,634,7728,16858
110001,2016,"Alta Floresta D'Oeste","Rondônia","Norte",8.8,671,672,7634,16811
110001,2017,"Alta Floresta D'Oeste","Rondônia","Norte",7.8,589,587,7522,16735
110001,2018,"Alta Floresta D'Oeste","Rondônia","Norte",7.5,557,555,7396,16626
110001,2019,"Alta Floresta D'Oeste","Rondônia","Norte",6.9,499,502,7282,16509
110001,2020,"Alta Floresta D'Oeste","Rondônia","Norte",6.7,479,480,7171,16383
110001,2021,"Alta Floresta D'Oeste","Rondônia","Norte",5.9,420,417,7064,16223
110001,2022,"Alta Floresta D'Oeste","Rondônia","Norte",5.4,372,374,6932,16028
110001,2023,"Alta Floresta D'Oeste","Rondônia","Norte",5,338,340,6793,15830
110001,2024,"Alta Floresta D'Oeste","Rondônia","Norte",5.1,340,340,6669,15654
110001,2025,"Alta Floresta D'Oeste","Rondônia","Norte",5.4,356,355,6579,15580
110002,2015,"Ariquemes","Rondônia","Norte",9.1,3006,3021,33200,68592
110002,2016,"Ariquemes","Rondônia","Norte",8.9,2995,2979,33474,69827
110002,2017,"Ariquemes","Rondônia","Norte",8.6,2892,2895,33658,70948
110002,2018,"Ariquemes","Rondônia","Norte",8.3,2798,2801,33746,71928
110002,2019,"Ariquemes","Rondônia","Norte",8.8,2969,2978,33842,72892
110002,2020,"Ariquemes","Rondônia","Norte",8.7,2970,2955,33965,73856
110002,2021,"Ariquemes","Rondônia","Norte",8.5,2900,2896,34065,74639
110002,2022,"Ariquemes","Rondônia","Norte",7.4,2530,2523,34101,75239
110002,2023,"Ariquemes","Rondônia","Norte",6.9,2354,2352,34082,75761
110002,2024,"Ariquemes","Rondônia","Norte",7.3,2480,2488,34085,76326
110002,2025,"Ariquemes","Rondônia","Norte",7.7,2614,2617,33987,76681
110003,2015,"Cabixi","Rondônia","Norte",3.3,102,61,1840,4248
110003,2016,"Cabixi","Rondônia","Norte",4.1,74,74,1807,4208
110003,2017,"Cabixi","Rondônia","Norte",3.7,66,66,1772,4173
110003,2018,"Cabixi","Rondônia","Norte",3.5,60,61,1736,4118
110003,2019,"Cabixi","Rondônia","Norte",3.3,56,56,1706,4061
110003,2020,"Cabixi","Rondônia","Norte",3.5,58,59,1673,4003
110003,2021,"Cabixi","Rondônia","Norte",3.3,54,54,1649,3948
110003,2022,"Cabixi","Rondônia","Norte",3.2,52,52,1612,3883
110003,2023,"Cabixi","Rondônia","Norte",3,48,47,1574,3812
110003,2024,"Cabixi","Rondônia","Norte",3.2,50,50,1553,3775
110003,2025,"Cabixi","Rondônia","Norte",2.9,44,44,1533,3757
110004,2015,"Cacoal","Rondônia","Norte",10.6,3073,3066,28924,61291
110004,2016,"Cacoal","Rondônia","Norte",10.8,3151,3152,29189,62504
110004,2017,"Cacoal","Rondônia","Norte",10.6,3100,3114,29382,63609
110004,2018,"Cacoal","Rondônia","Norte",10.3,3042,3039,29503,64565
110004,2019,"Cacoal","Rondônia","Norte",9.9,2926,2934,29637,65503
110004,2020,"Cacoal","Rondônia","Norte",9.8,2920,2920,29794,66424
110004,2021,"Cacoal","Rondônia","Norte",9.8,2948,2934,29940,67193
110004,2022,"Cacoal","Rondônia","Norte",10,3000,3005,30049,67812
110004,2023,"Cacoal","Rondônia","Norte",10.2,3074,3073,30129,68397
110004,2024,"Cacoal","Rondônia","Norte",10.7,3245,3235,30236,69036
110004,2025,"Cacoal","Rondônia","Norte",11.2,3396,3384,30211,69331
110005,2015,"Cerejeiras","Rondônia","Norte",5.6,314,312,5578,12054
110005,2016,"Cerejeiras","Rondônia","Norte",5.8,317,320,5512,12052
110005,2017,"Cerejeiras","Rondônia","Norte",5.4,294,294,5441,12040
110005,2018,"Cerejeiras","Rondônia","Norte",5.3,286,284,5356,12003
110005,2019,"Cerejeiras","Rondônia","Norte",5.3,278,280,5279,11963
110005,2020,"Cerejeiras","Rondônia","Norte",4.8,250,250,5214,11927
110005,2021,"Cerejeiras","Rondônia","Norte",4.4,224,226,5147,11855
110005,2022,"Cerejeiras","Rondônia","Norte",4.4,221,224,5080,11766
110005,2023,"Cerejeiras","Rondônia","Norte",4.8,238,240,5007,11665
110005,2024,"Cerejeiras","Rondônia","Norte",5.7,281,283,4957,11590
110005,2025,"Cerejeiras","Rondônia","Norte",6,294,296,4929,11564
110006,2015,"Colorado do Oeste","Rondônia","Norte",8,460,460,5745,12708
110006,2016,"Colorado do Oeste","Rondônia","Norte",8.4,474,473,5633,12604
110006,2017,"Colorado do Oeste","Rondônia","Norte",8.2,453,452,5516,12477
110006,2018,"Colorado do Oeste","Rondônia","Norte",8.1,435,436,5385,12327
110006,2019,"Colorado do Oeste","Rondônia","Norte",7.5,395,395,5271,12181
110006,2020,"Colorado do Oeste","Rondônia","Norte",7.3,376,377,5162,12037
110006,2021,"Colorado do Oeste","Rondônia","Norte",7.2,364,363,5048,11860
110006,2022,"Colorado do Oeste","Rondônia","Norte",7.1,348,350,4936,11666
110006,2023,"Colorado do Oeste","Rondônia","Norte",7,337,337,4817,11488
110006,2024,"Colorado do Oeste","Rondônia","Norte",7.2,340,339,4710,11331
110006,2025,"Colorado do Oeste","Rondônia","Norte",7.4,343,344,4646,11269
110007,2015,"Corumbiara","Rondônia","Norte",2.1,57,56,2687,6115
110007,2016,"Corumbiara","Rondônia","Norte",2,54,53,2646,6093
110007,2017,"Corumbiara","Rondônia","Norte",1.6,42,42,2599,6055
110007,2018,"Corumbiara","Rondônia","Norte",1.5,38,38,2540,6006
110007,2019,"Corumbiara","Rondônia","Norte",1.1,28,27,2480,5949
110007,2020,"Corumbiara","Rondônia","Norte",1.1,26,27,2429,5895
110007,2021,"Corumbiara","Rondônia","Norte",1.1,27,26,2373,5821
110007,2022,"Corumbiara","Rondônia","Norte",1.1,26,26,2319,5744
110007,2023,"Corumbiara","Rondônia","Norte",1.1,26,25,2268,5655
110007,2024,"Corumbiara","Rondônia","Norte",1.2,26,27,2234,5586
110007,2025,"Corumbiara","Rondônia","Norte",1.9,43,42,2211,5546
110008,2015,"Costa Marques","Rondônia","Norte",2.4,106,105,4358,9103
110008,2016,"Costa Marques","Rondônia","Norte",2.4,103,104,4342,9162
110008,2017,"Costa Marques","Rondônia","Norte",2.3,99,99,4317,9204
110008,2018,"Costa Marques","Rondônia","Norte",1.9,80,81,4276,9229
110008,2019,"Costa Marques","Rondônia","Norte",1.5,63,64,4242,9258
110008,2020,"Costa Marques","Rondônia","Norte",1.4,58,59,4208,9281
110008,2021,"Costa Marques","Rondônia","Norte",1.5,62,63,4174,9282
110008,2022,"Costa Marques","Rondônia","Norte",1.5,62,62,4128,9256
110008,2023,"Costa Marques","Rondônia","Norte",2,80,81,4068,9215
110008,2024,"Costa Marques","Rondônia","Norte",2.1,86,84,4015,9195
110008,2025,"Costa Marques","Rondônia","Norte",2.2,89,88,3981,9223
110009,2015,"Espigão D'Oeste","Rondônia","Norte",6.5,648,648,9967,21318
110009,2016,"Espigão D'Oeste","Rondônia","Norte",6.6,662,660,10001,21584
110009,2017,"Espigão D'Oeste","Rondônia","Norte",5.7,572,570,10006,21813
110009,2018,"Espigão D'Oeste","Rondônia","Norte",5.3,526,529,9986,22010
110009,2019,"Espigão D'Oeste","Rondônia","Norte",4.7,468,468,9968,22189
110009,2020,"Espigão D'Oeste","Rondônia","Norte",4.3,432,428,9958,22367
