codmunres,municipio,uf,sigla_uf,regiao,n_vinculos,massa_salarial_media,porc_vinculos_setor_agropecuaria,porc_vinculos_setor_comercio,porc_vinculos_setor_industria,porc_vinculos_setor_servicos,porc_empresas_porte_grande,porc_empresas_porte_micro,porc_empresas_porte_pequeno,porc_empresas_porte_medio,va,va_agropecuaria,va_industria,va_servicos,va_adespss,porc_va_adespss,pib_per_capita
110001,Alta Floresta D'Oeste,Rondônia,RO,Norte,3379,2471.8343385617045,13.17,29.565,7.724,49.541,0.09,95.023,4.887,0,684871000,311469000,27845000,172435000,173122000,25.278,48680.70159114171
110037,Alto Alegre dos Parecis,Rondônia,RO,Norte,1361,2856.2267229977956,12.932,24.32,0.588,62.16,0.509,94.656,4.835,0,463159000,277664000,18507000,63694000,103294000,22.302,50102.709295234774
110040,Alto Paraíso,Rondônia,RO,Norte,1838,2947.6718552774755,18.063,21.164,4.189,56.583,0.17,95.748,4.082,0,478387000,185477000,24384000,119576000,148951000,31.136,40926.654411764706
110034,Alvorada D'Oeste,Rondônia,RO,Norte,1468,2646.230524523161,10.15,21.935,1.839,66.076,0.337,96.128,3.535,0,336638000,147689000,11553000,72543000,104853000,31.147,37098.87931691698
110002,Ariquemes,Rondônia,RO,Norte,22454,2803.7945822570587,5.745,34.337,12.252,47.666,0.155,91.612,7.872,0.361,2790958000,293001000,407675000,1307977000,782306000,28.03,45271.91143515124
110045,Buritis,Rondônia,RO,Norte,4204,2593.116132254995,5.59,33.92,7.612,52.878,0.236,94.501,5.106,0.157,893255000,336953000,35156000,248229000,272916000,30.553,43619.89139754215
110003,Cabixi,Rondônia,RO,Norte,891,2741.3924915824914,28.395,13.805,8.642,49.158,0.357,93.929,5.714,0,227221000,136659000,8117000,35866000,46579000,20.499,56219.77200523267
110060,Cacaulândia,Rondônia,RO,Norte,636,3020.9920911949685,27.673,9.591,2.516,60.22,0.461,96.774,2.304,0.461,267682000,194610000,3288000,22239000,47544000,17.761,57587.7108433735
110004,Cacoal,Rondônia,RO,Norte,22433,2740.201797797887,3.062,31.137,13.52,52.28,0.227,93.105,6.022,0.646,2407879000,341315000,236801000,1200654000,629109000,26.127,44292.794088874056
110070,Campo Novo de Rondônia,Rondônia,RO,Norte,1147,3122.7025632083696,16.739,11.247,0.174,71.84,0.326,97.72,1.629,0.326,358139000,204767000,15949000,32157000,105266000,29.392,51475.68973315242
110080,Candeias do Jamari,Rondônia,RO,Norte,3429,2592.2239953339167,13.094,19.714,11.782,55.41,0.301,95.19,4.008,0.501,618484000,141452000,133643000,138507000,204882000,33.126,44895.11429852084
110090,Castanheiras,Rondônia,RO,Norte,540,2281.568277777778,39.259,3.704,0.741,56.296,0.735,94.853,4.412,0,96407000,56909000,2351000,8867000,28281000,29.335,42868.543148778226
110005,Cerejeiras,Rondônia,RO,Norte,3126,2732.4930710172744,10.525,33.109,7.262,49.104,0.186,93.401,6.32,0.093,611156000,151690000,27433000,308668000,123365000,20.186,63334.738829452486
110092,Chupinguaia,Rondônia,RO,Norte,3311,2999.370241618846,33.011,6.645,32.256,28.088,0.375,91.76,7.303,0.562,442053000,224569000,44525000,70952000,102007000,23.076,72285.4997854998
110006,Colorado do Oeste,Rondônia,RO,Norte,2627,2668.868934145413,7.766,28.854,14.046,49.334,0.249,93.898,5.729,0.125,391833000,123524000,28827000,124601000,114881000,29.319,37087.33959011683
110007,Corumbiara,Rondônia,RO,Norte,2032,3181.9290501968503,57.677,9.744,2.608,29.97,0.904,88.554,9.036,1.506,380669000,260728000,14014000,45392000,60535000,15.902,67770.44819789866
110008,Costa Marques,Rondônia,RO,Norte,1112,2682.0022482014388,10.791,19.065,3.777,66.367,0.361,97.473,1.986,0.181,304915000,116783000,6683000,53392000,128057000,41.998,32782.3711095272
110094,Cujubim,Rondônia,RO,Norte,1980,2730.141176767677,13.535,20.96,13.081,52.424,0.146,95.19,4.665,0,461204000,153670000,44087000,84329000,179118000,38.837,39167.59738949068
