"codmunres","ano","municipio","uf","regiao","beneficiarias_10_a_49","populacao_feminina_10_a_49"
110001,2015,"Alta Floresta D'Oeste","Rondônia","Norte",634,7728
110001,2016,"Alta Floresta D'Oeste","Rondônia","Norte",672,7634
110001,2017,"Alta Floresta D'Oeste","Rondônia","Norte",587,7522
110001,2018,"Alta Floresta D'Oeste","Rondônia","Norte",555,7396
110001,2019,"Alta Floresta D'Oeste","Rondônia","Norte",502,7282
110001,2020,"Alta Floresta D'Oeste","Rondônia","Norte",480,7171
110001,2021,"Alta Floresta D'Oeste","Rondônia","Norte",417,7064
110001,2022,"Alta Floresta D'Oeste","Rondônia","Norte",367,6932
110001,2023,"Alta Floresta D'Oeste","Rondônia","Norte",340,6793
110001,2024,"Alta Floresta D'Oeste","Rondônia","Norte",340,6669
110002,2015,"Ariquemes","Rondônia","Norte",3021,33200
110002,2016,"Ariquemes","Rondônia","Norte",2979,33474
110002,2017,"Ariquemes","Rondônia","Norte",2895,33658
110002,2018,"Ariquemes","Rondônia","Norte",2801,33746
110002,2019,"Ariquemes","Rondônia","Norte",2978,33842
110002,2020,"Ariquemes","Rondônia","Norte",2955,33965
110002,2021,"Ariquemes","Rondônia","Norte",2896,34065
110002,2022,"Ariquemes","Rondônia","Norte",2523,34101
110002,2023,"Ariquemes","Rondônia","Norte",2352,34082
110002,2024,"Ariquemes","Rondônia","Norte",2488,34085
110003,2015,"Cabixi","Rondônia","Norte",61,1840
110003,2016,"Cabixi","Rondônia","Norte",74,1807
110003,2017,"Cabixi","Rondônia","Norte",66,1772
110003,2018,"Cabixi","Rondônia","Norte",61,1736
110003,2019,"Cabixi","Rondônia","Norte",56,1706
110003,2020,"Cabixi","Rondônia","Norte",59,1673
110003,2021,"Cabixi","Rondônia","Norte",54,1649
110003,2022,"Cabixi","Rondônia","Norte",52,1612
110003,2023,"Cabixi","Rondônia","Norte",47,1574
110003,2024,"Cabixi","Rondônia","Norte",50,1553
110004,2015,"Cacoal","Rondônia","Norte",3066,28924
110004,2016,"Cacoal","Rondônia","Norte",3152,29189
110004,2017,"Cacoal","Rondônia","Norte",3114,29382
110004,2018,"Cacoal","Rondônia","Norte",3039,29503
110004,2019,"Cacoal","Rondônia","Norte",2934,29637
110004,2020,"Cacoal","Rondônia","Norte",2920,29794
110004,2021,"Cacoal","Rondônia","Norte",2934,29940
110004,2022,"Cacoal","Rondônia","Norte",3005,30049
110004,2023,"Cacoal","Rondônia","Norte",3073,30129
110004,2024,"Cacoal","Rondônia","Norte",3235,30236
110005,2015,"Cerejeiras","Rondônia","Norte",312,5578
110005,2016,"Cerejeiras","Rondônia","Norte",320,5512
110005,2017,"Cerejeiras","Rondônia","Norte",294,5441
110005,2018,"Cerejeiras","Rondônia","Norte",284,5356
110005,2019,"Cerejeiras","Rondônia","Norte",280,5279
110005,2020,"Cerejeiras","Rondônia","Norte",250,5214
110005,2021,"Cerejeiras","Rondônia","Norte",226,5147
110005,2022,"Cerejeiras","Rondônia","Norte",224,5080
110005,2023,"Cerejeiras","Rondônia","Norte",240,5007
110005,2024,"Cerejeiras","Rondônia","Norte",283,4957
110006,2015,"Colorado do Oeste","Rondônia","Norte",460,5745
110006,2016,"Colorado do Oeste","Rondônia","Norte",473,5633
110006,2017,"Colorado do Oeste","Rondônia","Norte",452,5516
110006,2018,"Colorado do Oeste","Rondônia","Norte",436,5385
110006,2019,"Colorado do Oeste","Rondônia","Norte",395,5271
110006,2020,"Colorado do Oeste","Rondônia","Norte",377,5162
110006,2021,"Colorado do Oeste","Rondônia","Norte",363,5048
110006,2022,"Colorado do Oeste","Rondônia","Norte",350,4936
110006,2023,"Colorado do Oeste","Rondônia","Norte",337,4817
110006,2024,"Colorado do Oeste","Rondônia","Norte",344,4710
110007,2015,"Corumbiara","Rondônia","Norte",56,2687
110007,2016,"Corumbiara","Rondônia","Norte",53,2646
110007,2017,"Corumbiara","Rondônia","Norte",42,2599
110007,2018,"Corumbiara","Rondônia","Norte",38,2540
110007,2019,"Corumbiara","Rondônia","Norte",27,2480
110007,2020,"Corumbiara","Rondônia","Norte",27,2429
110007,2021,"Corumbiara","Rondônia","Norte",26,2373
110007,2022,"Corumbiara","Rondônia","Norte",26,2319
110007,2023,"Corumbiara","Rondônia","Norte",25,2268
110007,2024,"Corumbiara","Rondônia","Norte",27,2234
110008,2015,"Costa Marques","Rondônia","Norte",105,4358
110008,2016,"Costa Marques","Rondônia","Norte",104,4342
110008,2017,"Costa Marques","Rondônia","Norte",99,4317
110008,2018,"Costa Marques","Rondônia","Norte",81,4276
110008,2019,"Costa Marques","Rondônia","Norte",64,4242
110008,2020,"Costa Marques","Rondônia","Norte",59,4208
110008,2021,"Costa Marques","Rondônia","Norte",63,4174
110008,2022,"Costa Marques","Rondônia","Norte",62,4128
110008,2023,"Costa Marques","Rondônia","Norte",77,4068
110008,2024,"Costa Marques","Rondônia","Norte",84,4015
110009,2015,"Espigão D'Oeste","Rondônia","Norte",648,9967
110009,2016,"Espigão D'Oeste","Rondônia","Norte",660,10001
110009,2017,"Espigão D'Oeste","Rondônia","Norte",570,10006
110009,2018,"Espigão D'Oeste","Rondônia","Norte",529,9986
110009,2019,"Espigão D'Oeste","Rondônia","Norte",468,9968
110009,2020,"Espigão D'Oeste","Rondônia","Norte",428,9958
110009,2021,"Espigão D'Oeste","Rondônia","Norte",418,9942
110009,2022,"Espigão D'Oeste","Rondônia","Norte",416,9905
110009,2023,"Espigão D'Oeste","Rondônia","Norte",404,9851
110009,2024,"Espigão D'Oeste","Rondônia","Norte",402,9816
110010,2015,"Guajará-Mirim","Rondônia","Norte",749,13869
110010,2016,"Guajará-Mirim","Rondônia","Norte",705,13825
110010,2017,"Guajará-Mirim","Rondônia","Norte",674,13750
110010,2018,"Guajará-Mirim","Rondônia","Norte",628,13659
110010,2019,"Guajará-Mirim","Rondônia","Norte",557,13583
110010,2020,"Guajará-Mirim","Rondônia","Norte",554,13518
110010,2021,"Guajará-Mirim","Rondônia","Norte",538,13458
110010,2022,"Guajará-Mirim","Rondônia","Norte",494,13358
110010,2023,"Guajará-Mirim","Rondônia","Norte",476,13234
110010,2024,"Guajará-Mirim","Rondônia","Norte",485,13115
110011,2015,"Jaru","Rondônia","Norte",1177,18106
110011,2016,"Jaru","Rondônia","Norte",1158,18089
110011,2017,"Jaru","Rondônia","Norte",1064,18026
110011,2018,"Jaru","Rondônia","Norte",968,17923
110011,2019,"Jaru","Rondônia","Norte",891,17817
110011,2020,"Jaru","Rondônia","Norte",850,17715
110011,2021,"Jaru","Rondônia","Norte",828,17616
110011,2022,"Jaru","Rondônia","Norte",822,17479
110011,2023,"Jaru","Rondônia","Norte",796,17303
110011,2024,"Jaru","Rondônia","Norte",840,17137
110012,2015,"Ji-Paraná","Rondônia","Norte",5135,42436
110012,2016,"Ji-Paraná","Rondônia","Norte",5077,42662
110012,2017,"Ji-Paraná","Rondônia","Norte",4792,42789
110012,2018,"Ji-Paraná","Rondônia","Norte",4839,42824
110012,2019,"Ji-Paraná","Rondônia","Norte",4588,42875
110012,2020,"Ji-Paraná","Rondônia","Norte",4597,42965
110012,2021,"Ji-Paraná","Rondônia","Norte",4605,43040
110012,2022,"Ji-Paraná","Rondônia","Norte",4606,43049
110012,2023,"Ji-Paraná","Rondônia","Norte",4820,43033
110012,2024,"Ji-Paraná","Rondônia","Norte",4993,43047
110013,2015,"Machadinho D'Oeste","Rondônia","Norte",307,10228
110013,2016,"Machadinho D'Oeste","Rondônia","Norte",297,10248
110013,2017,"Machadinho D'Oeste","Rondônia","Norte",266,10248
110013,2018,"Machadinho D'Oeste","Rondônia","Norte",245,10226
110013,2019,"Machadinho D'Oeste","Rondônia","Norte",225,10210
110013,2020,"Machadinho D'Oeste","Rondônia","Norte",214,10202
110013,2021,"Machadinho D'Oeste","Rondônia","Norte",214,10195
110013,2022,"Machadinho D'Oeste","Rondônia","Norte",203,10158
110013,2023,"Machadinho D'Oeste","Rondônia","Norte",202,10096
110013,2024,"Machadinho D'Oeste","Rondônia","Norte",201,10041
110014,2015,"Nova Brasilândia D'Oeste","Rondônia","Norte",169,6052
110014,2016,"Nova Brasilândia D'Oeste","Rondônia","Norte",166,5930
