"local","valor_2015","valor_2024","Mann_Kendall_z","Mann_Kendall_p"
"Brasil",74.6,74.3,-0.894,0.37109
"Acre",5,5.1,-1.309,0.19043
"Amapá",10.1,7.9,-3.682,0.00023
"Amazonas",15.2,15.3,1.347,0.17797
"Pará",10.4,10,0,1
"Rondônia",9.8,9.7,-0.902,0.36723
"Roraima",4.9,4.6,-2.114,0.03454
"Tocantins",7.6,8.7,3.607,0.00031
"Alagoas",12.7,12,-0.541,0.58851
"Bahia",11.8,11.6,0,1
"Ceará",15.3,15.4,0.721,0.4707
"Maranhão",6.8,7.4,2.917,0.00353
"Paraíba",10.8,11,0.272,0.78592
"Pernambuco",16.1,15.9,-0.091,0.92786
"Piauí",9.7,13.3,3.935,8e-05
"Rio Grande do Norte",17.1,19.1,1.886,0.05931
"Sergipe",14.4,15.1,0.902,0.36723
"Distrito Federal",31.9,32.9,1.72,0.0854
"Goiás",17.7,27.1,3.757,0.00017
"Mato Grosso",17.3,18.7,1.623,0.10459
"Mato Grosso do Sul",26.7,24.3,-0.808,0.41896
"Espírito Santo",30.8,34.6,1.984,0.04729
"Minas Gerais",27.3,29.2,1.431,0.15241
"Rio de Janeiro",32.7,32.7,0,1
"São Paulo",44.1,43.1,0.358,0.72051
"Paraná",27.9,29.1,1.252,0.2105
"Rio Grande do Sul",26.8,26.3,-1.082,0.27925
"Santa Catarina",23.5,23.8,0.358,0.72051
