"local","breakpoint","breakpoint_p","tendencia_1_anos","tendencia_1_apc","tendencia_1_p","tendencia_2_anos","tendencia_2_apc","tendencia_2_p"
"Brasil",2019,3e-05,"2015-2019",-2.73,0.00017,"2019-2025",1.96,1e-05
"Acre",2022,0.00529,"2015-2022",-1.72,0.00217,"2022-2025",2.64,0.02025
"Amapá",2023,0.00282,"2015-2023",-3.46,0,"2023-2025",2.56,0.0613
"Amazonas",2019,0.00463,"2015-2019",-2.4,0.03908,"2019-2025",3.55,0.00194
"Pará",2018,0,"2015-2018",-5.38,1e-05,"2018-2025",1.18,5e-04
"Rondônia",2019,0.00056,"2015-2019",-4.56,0.00098,"2019-2025",1.46,0.00532
"Roraima",2017,0.00275,"2015-2017",-12.5,0.00515,"2017-2025",-1.28,0.00395
"Tocantins",2021,0.00301,"2015-2021",0.7,0.01849,"2021-2025",2.97,3e-05
"Alagoas",2019,0.00113,"2015-2019",-2.69,6e-04,"2019-2025",1.39,0.00541
"Bahia",2020,9e-05,"2015-2020",-1.77,0.00048,"2020-2025",2.87,0
"Ceará",2021,0.00031,"2015-2021",-0.62,0.11093,"2021-2025",4.76,2e-05
"Maranhão",2017,0.0076,"2015-2017",-4.2,0.02278,"2017-2025",1.61,0.00162
"Paraíba",2020,4e-05,"2015-2020",-1.42,9e-04,"2020-2025",2.46,1e-05
"Pernambuco",2019,2e-05,"2015-2019",-2.02,1e-05,"2019-2025",1.36,3e-05
"Piauí",2019,0.15967,"2015-2019",2.61,0.01309,"2019-2025",4.43,0
"Rio Grande do Norte",2019,0.00252,"2015-2019",-2.04,0.08339,"2019-2025",3.99,4e-05
"Sergipe",2021,0.01015,"2015-2021",-0.62,0.10411,"2021-2025",1.98,0.00285
"Distrito Federal",2017,0.00085,"2015-2017",-4.65,0.00177,"2017-2025",1.25,0.00064
"Goiás",2017,0.74058,"2015-2017",-1.1,0.92781,"2017-2025",6.24,0.00079
"Mato Grosso",2019,0.00159,"2015-2019",-1.55,0.00861,"2019-2025",2.28,0.00024
"Mato Grosso do Sul",2020,0.01227,"2015-2020",-4.55,0.00494,"2020-2025",2.02,0.05521
"Espírito Santo",2019,5e-05,"2015-2019",-2.09,0.00833,"2019-2025",4.15,0
"Minas Gerais",2018,0.00015,"2015-2018",-2.61,0.00234,"2018-2025",2.95,1e-05
"Rio de Janeiro",2018,9e-05,"2015-2018",-5.34,0.00023,"2018-2025",1.04,0.00057
"São Paulo",2018,0.00032,"2015-2018",-3.99,0.00168,"2018-2025",1.27,0.00022
"Paraná",2020,0.00012,"2015-2020",-0.87,0.00933,"2020-2025",2.18,1e-05
"Rio Grande do Sul",2020,0,"2015-2020",-2.2,0,"2020-2025",2.21,0
"Santa Catarina",2020,0.00081,"2015-2020",-1.96,0.00318,"2020-2025",2.34,0.00025
