"local","valor_2015","valor_2025","Mann_Kendall_z","Mann_Kendall_p"
"Brazil",26,26.5,1.246,0.21291
"Acre",5.5,5.2,-1.288,0.19777
"Amapá",10,8.1,-3.446,0.00057
"Amazonas",15.3,16.7,1.796,0.07249
"Pará",11.2,10.1,0.316,0.75208
"Rondônia",11,10.2,-0.783,0.43347
"Roraima",6.4,4.7,-3.199,0.00138
"Tocantins",7.6,9.1,3.916,0.00009
"Alagoas",12.6,12.2,-0.157,0.87552
"Bahia",12,12.6,0.864,0.38746
"Ceará",15.3,18.1,1.796,0.07249
"Maranhão",7.3,7.6,1.723,0.08486
"Paraíba",10.8,11.5,1.484,0.1379
"Pernambuco",16.4,16.2,0.315,0.75258
"Piauí",9.7,13.5,4.204,0.00003
"Rio Grande do Norte",17.1,19.9,2.506,0.0122
"Sergipe",14.5,15.4,1.41,0.15858
"Distrito Federal",34.1,34.5,1.567,0.11723
"Goiás",18.2,27.4,3.514,0.00044
"Mato Grosso",17.8,18.8,1.868,0.06171
"Mato Grosso do Sul",26.7,24.4,-0.393,0.69444
"Espírito Santo",30.8,36.4,2.506,0.0122
"Minas Gerais",27.6,29.8,2.024,0.04296
"Rio de Janeiro",35.6,33.3,0,1
"São Paulo",44.7,44.1,0.934,0.3502
"Paraná",28,29.9,1.868,0.06171
"Rio Grande do Sul",27.4,27.3,-0.234,0.81478
"Santa Catarina",24.3,24.2,0.623,0.53342
