"variavel","grupo","n","minimo","primeiro_qt","media","mediana","dp","terceiro_qt","maximo","p_valor_kruskal"
"razao_emprego_formal_pop_15_a_64","1: Lowest percentage of women with private health insurance",3365,0.005,0.104,0.182,0.155,0.108,0.234,1.241,"< 0.001"
"razao_emprego_formal_pop_15_a_64","2: Low percentage of women with private health insurance",1193,0.067,0.229,0.317,0.296,0.129,0.382,1.144,""
"razao_emprego_formal_pop_15_a_64","3: Intermediate percentage of women with private health insurance",711,0.091,0.28,0.39,0.37,0.168,0.456,1.98,""
"razao_emprego_formal_pop_15_a_64","4: High percentage of women with private health insurance",301,0.121,0.385,0.506,0.478,0.206,0.592,1.693,""
"idhm","1: Lowest percentage of women with private health insurance",3365,0.418,0.577,0.62,0.613,0.06,0.664,0.791,"< 0.001"
"idhm","2: Low percentage of women with private health insurance",1193,0.524,0.675,0.701,0.704,0.041,0.73,0.806,""
"idhm","3: Intermediate percentage of women with private health insurance",711,0.588,0.711,0.731,0.732,0.033,0.753,0.845,""
"idhm","4: High percentage of women with private health insurance",301,0.587,0.738,0.758,0.761,0.037,0.78,0.862,""
"porc_va_adespss","1: Lowest percentage of women with private health insurance",3365,2.079,23.413,37.633,37.966,16.866,51.424,83.469,"< 0.001"
"porc_va_adespss","2: Low percentage of women with private health insurance",1193,1.558,13.682,21.484,19.677,10.627,27.186,69.278,""
"porc_va_adespss","3: Intermediate percentage of women with private health insurance",711,1.162,12.061,18.233,16.009,8.88,22.669,52.597,""
"porc_va_adespss","4: High percentage of women with private health insurance",301,-25.698,8.933,13.331,11.606,7.621,16.525,43.837,""
"porc_populacao_urbana","1: Lowest percentage of women with private health insurance",3365,4.179,40.13,54.299,54.387,18.866,68.324,100,"< 0.001"
"porc_populacao_urbana","2: Low percentage of women with private health insurance",1193,11.276,61.602,72.519,77.213,18.87,87.066,100,""
"porc_populacao_urbana","3: Intermediate percentage of women with private health insurance",711,14.085,77.29,83.112,87.924,15.297,94.133,100,""
"porc_populacao_urbana","4: High percentage of women with private health insurance",301,28.839,86.514,90.144,94.654,12.749,98.28,100,""
"porc_beneficiarios_bolsa_familia","1: Lowest percentage of women with private health insurance",3365,3.79,59.515,69.575,73.59,16.812,82.185,97.07,"< 0.001"
"porc_beneficiarios_bolsa_familia","2: Low percentage of women with private health insurance",1193,2.52,41.28,51.549,51.48,15.322,62.52,96.18,""
"porc_beneficiarios_bolsa_familia","3: Intermediate percentage of women with private health insurance",711,2.03,39.028,47.862,47.26,13.885,57.338,87.32,""
"porc_beneficiarios_bolsa_familia","4: High percentage of women with private health insurance",301,7.15,40.49,48.336,49.61,12.977,57.05,81.84,""
