"local","davies_p","breakpoint","tendencia_1_anos","tendencia_1_apc","tendencia_1_p","tendencia_2_anos","tendencia_2_apc","tendencia_2_p"
"Brazil",0.00003,2019,"2015-2019",-2.73,0.00017,"2019-2025",1.96,0.00001
"Acre",0.00529,2022,"2015-2022",-1.72,0.00217,"2022-2025",2.64,0.02025
"Amapá",0.00282,2023,"2015-2023",-3.46,0,"2023-2025",2.56,0.0613
"Amazonas",0.00463,2019,"2015-2019",-2.4,0.03908,"2019-2025",3.55,0.00194
"Pará",0,2018,"2015-2018",-5.38,0.00001,"2018-2025",1.18,0.0005
"Rondônia",0.00056,2019,"2015-2019",-4.56,0.00098,"2019-2025",1.46,0.00532
"Roraima",0.00275,2017,"2015-2017",-12.5,0.00515,"2017-2025",-1.28,0.00395
"Tocantins",0.00301,2021,"2015-2021",0.7,0.01849,"2021-2025",2.97,0.00003
"Alagoas",0.00113,2019,"2015-2019",-2.69,0.0006,"2019-2025",1.39,0.00541
"Bahia",0.00009,2020,"2015-2020",-1.77,0.00048,"2020-2025",2.87,0
"Ceará",0.00031,2021,"2015-2021",-0.62,0.11093,"2021-2025",4.76,0.00002
"Maranhão",0.0076,2017,"2015-2017",-4.2,0.02278,"2017-2025",1.61,0.00162
"Paraíba",0.00004,2020,"2015-2020",-1.42,0.0009,"2020-2025",2.46,0.00001
"Pernambuco",0.00002,2019,"2015-2019",-2.02,0.00001,"2019-2025",1.36,0.00003
"Piauí",0.15967,NA,NA,NA,NA,NA,NA,NA
"Rio Grande do Norte",0.00252,2019,"2015-2019",-2.04,0.08339,"2019-2025",3.99,0.00004
"Sergipe",0.01015,2021,"2015-2021",-0.62,0.10411,"2021-2025",1.98,0.00285
"Distrito Federal",0.00085,2017,"2015-2017",-4.65,0.00177,"2017-2025",1.25,0.00064
"Goiás",0.74058,NA,NA,NA,NA,NA,NA,NA
"Mato Grosso",0.00159,2019,"2015-2019",-1.55,0.00861,"2019-2025",2.28,0.00024
"Mato Grosso do Sul",0.01227,2020,"2015-2020",-4.55,0.00494,"2020-2025",2.02,0.05521
"Espírito Santo",0.00005,2019,"2015-2019",-2.09,0.00833,"2019-2025",4.15,0
"Minas Gerais",0.00015,2018,"2015-2018",-2.61,0.00234,"2018-2025",2.95,0.00001
"Rio de Janeiro",0.00009,2018,"2015-2018",-5.34,0.00023,"2018-2025",1.04,0.00057
"São Paulo",0.00032,2018,"2015-2018",-3.99,0.00168,"2018-2025",1.27,0.00022
"Paraná",0.00012,2020,"2015-2020",-0.87,0.00933,"2020-2025",2.18,0.00001
"Rio Grande do Sul",0,2020,"2015-2020",-2.2,0,"2020-2025",2.21,0
"Santa Catarina",0.00081,2020,"2015-2020",-1.96,0.00318,"2020-2025",2.34,0.00025
